Time;Push Pull #1 (14649);Push Pull #1 (14649) - Setpoint;Push Pull #1 (10);Push Pull #1 (10) - Setpoint;Flow Unit #1 [Push Pull #1 (14649)];Flow Unit #1 [Push Pull #1 (14649)] - Setpoint;Flow Unit #1 [Push Pull #1 (14649)] - Air detected;Link (12501) TTL #1 - Event;Link (12501) TTL #1 - Mode;Link (12501) TTL #2 - Event;Link (12501) TTL #2 - Mode;Link (1) TTL #1 - Event;Link (1) TTL #1 - Mode;Link (1) TTL #2 - Event;Link (1) TTL #2 - Mode
2024-04-06 15:55:38.178;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:38.287;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:38.386;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:38.476;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:38.585;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:38.680;0.0;-0.0;NaN;10.0;0.0;0.0;0;0;;0;;0;;0;
2024-04-06 15:55:38.790;0.0;-0.0;NaN;10.0;-0.1;-0.1;0;0;;0;;0;;0;
2024-04-06 15:55:38.886;0.0;-0.0;NaN;10.0;-0.1;-0.1;0;0;;0;;0;;0;
2024-04-06 15:55:38.981;-0.6;-0.0;NaN;10.0;-0.1;-0.1;0;0;;0;;0;;0;
2024-04-06 15:55:39.076;-0.6;-0.0;NaN;10.0;-0.1;-0.1;0;0;;0;;0;;0;
2024-04-06 15:55:39.188;-0.6;-0.0;NaN;10.0;-0.1;-0.1;0;0;;0;;0;;0;
2024-04-06 15:55:39.282;-0.6;-0.0;NaN;10.0;-0.1;-0.1;0;0;;0;;0;;0;
2024-04-06 15:55:39.378;-0.6;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:39.489;-0.6;-0.0;NaN;10.0;0.0;0.0;1;0;;0;;0;;0;
2024-04-06 15:55:39.585;-0.6;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:39.680;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:39.788;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:39.883;0.0;-0.0;NaN;10.0;0.0;0.0;1;0;;0;;0;;0;
2024-04-06 15:55:39.979;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:40.090;-0.6;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:40.186;-0.6;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:40.281;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:40.376;-0.6;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:40.487;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:40.583;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:40.677;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:40.788;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:40.884;-0.6;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:40.978;-0.6;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:41.088;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:41.185;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:41.279;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:41.389;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:41.485;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:41.581;0.0;-0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:41.677;-217.8;-800.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 15:55:41.788;-572.5;-800.0;NaN;10.0;-4.4;-4.4;1;0;;0;;0;;0;
2024-04-06 15:55:41.882;-573.1;-800.0;NaN;10.0;-3.0;-3.0;1;0;;0;;0;;0;
2024-04-06 15:55:41.978;-572.5;-800.0;NaN;10.0;-2.0;-2.0;1;0;;0;;0;;0;
2024-04-06 15:55:42.088;-571.8;-800.0;NaN;10.0;-1.5;-1.5;1;0;;0;;0;;0;
2024-04-06 15:55:42.184;-570.6;-800.0;NaN;10.0;-1.4;-1.4;1;0;;0;;0;;0;
2024-04-06 15:55:42.277;-570.0;-800.0;NaN;10.0;-1.2;-1.2;1;0;;0;;0;;0;
2024-04-06 15:55:42.388;-568.7;-800.0;NaN;10.0;-1.2;-1.2;1;0;;0;;0;;0;
2024-04-06 15:55:42.484;-568.1;-800.0;NaN;10.0;-1.1;-1.1;1;0;;0;;0;;0;
2024-04-06 15:55:42.579;-566.8;-800.0;NaN;10.0;-1.1;-1.1;1;0;;0;;0;;0;
2024-04-06 15:55:42.689;-566.8;-800.0;NaN;10.0;-1.0;-1.0;1;0;;0;;0;;0;
2024-04-06 15:55:42.784;-566.2;-800.0;NaN;10.0;-0.9;-0.9;1;0;;0;;0;;0;
2024-04-06 15:55:42.878;-564.9;-800.0;NaN;10.0;-1135.0;-1135.0;1;0;;0;;0;;0;
2024-04-06 15:55:42.988;-563.6;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:43.084;-563.6;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:43.178;-562.4;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:43.289;-561.8;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:43.385;-561.8;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:43.480;-561.1;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:43.590;-559.9;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:43.685;-559.2;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:43.780;-559.2;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:43.892;-558.0;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:43.988;-558.0;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:44.096;-556.7;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:44.189;-556.1;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:44.300;-556.1;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:44.378;-555.4;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:44.489;-554.2;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:44.584;-554.2;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:44.677;-553.5;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:44.789;-551.7;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:44.884;-551.7;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:44.979;-551.0;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:45.075;-551.0;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:45.187;-549.8;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:45.283;-549.1;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:45.377;-548.5;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
2024-04-06 15:55:45.488;-547.9;-800.0;NaN;10.0;-2000.0;-2000.0;0;0;;0;;0;;0;
